"Comment","Designator","Footprint","LCSC Part #"
"1uf 0201","C1,C3,C10","C_0201_0603Metric","no_part_number"
"22pF 0402","C2","C_0402_1005Metric","no_part_number"
"4.7uf 0402","C4","C_0402_1005Metric","no_part_number"
"100nf 0201","C5,C6,C7,C8,C11,C13,C14,C15,C16,C18","C_0201_0603Metric","no_part_number"
"22pf 0402","C19","C_0402_1005Metric","no_part_number"
"Schottky Barrier SOD-723","D1","D_SOD-523","no_part_number"
"W25Q16JVUXIQ","FLASH1","SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm","no_part_number"
"LED_0402","GPIO25_LED1","LED_0402_1005Metric","no_part_number"
"1K 0201","GPIO25_RESISTOR1","R_0201_0603Metric","no_part_number"
"Button","J2","SW_SPST_CK_KXT3","no_part_number"
"1K 0201","R1,R7","C_0201_0603Metric","no_part_number"
"10K 0201","R2","C_0201_0603Metric","no_part_number"
"27r 0201","R3,R4","R_0201_0603Metric","no_part_number"
"5.1K 0201","R5,R6","R_0201_0603Metric","no_part_number"
"5.6k 0402","R101","R_0402_1005Metric","no_part_number"
"10k 0201","R102","R_0201_0603Metric","no_part_number"
"TestPoint","TP1,TP2,TP4,TP101,TP103","CustomTestPoint","no_part_number"
"Elite-C","U2","Elite-C","no_part_number"
"RP2040","U3","RP2040-QFN-56","C2040"
"WL2810D33-4/TR","U101","UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm","no_part_number"
"TYPE-C-31-M-14","USB1","USB_C_TYPE-C-31-M-14","C223907"
"2016_4P","Y1","Crystal_SMD_2016-4Pin_2.0x1.6mm","no_part_number"
