"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP2,TP1,TP6,TP8,TP7";"TestPoint_Pad_D1.0mm";5;"TestPoint";;;
2;"FLASH1";"SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm";1;"W25Q16";;;
3;"RSW1";"SW_Push_SPST_NO_Alps_SKRK";1;"Jumper_NO_Small";;;
4;"J4,J3";"PinHeader_1x20_P2.54mm_Vertical";2;"2.54mm header 01x20";;;
5;"R12";"R_0402_1005Metric";1;"5.1K 0402 Resistor";;;
6;"PWRLED1,D3";"LED_0603_1608Metric";2;"LED_0603";;;
7;"J2";"SW_Push_SPST_NO_Alps_SKRK";1;"SKRKAEE020";;;
8;"R4,R3";"R_0402_1005Metric";2;"27 0402 Resistor";;;
9;"USB1";"HRO-TYPE-C-31-M-12";1;"TYPE-C-31-M-12";;;
10;"R11,R1";"C_0402_1005Metric";2;"1K 0402 Resistor";;;
11;"C19,C2";"C_0402_1005Metric";2;"22pf 0402";;;
12;"CBP1,C4,C17";"C_0402_1005Metric";3;"10uf 0402";;;
13;"U1";"SOT-23-5";1;"TLV75533PDBVR";;;
14;"C15,C18,C16,C5,C8,C7,C14,C13,C11,C6";"C_0402_1005Metric";10;"100nf 0402";;;
15;"D1";"D_SOD-123";1;"1N4002W";;;
16;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"3225_4P";;;
17;"R6,R5";"R_0402_1005Metric";2;"5.1K 0402";;;
18;"C1";"C_0603_1608Metric";1;"10uf 0603 6.3V";;;
19;"R10";"R_0402_1005Metric";1;"1 0402";;;
20;"R9";"R_0603_1608Metric";1;"200 0603";;;
21;"R2";"C_0402_1005Metric";1;"10K 0402";;;
22;"R7";"R_0402_1005Metric";1;"100K 0402 resistor";;;
23;"C3,C10";"C_0402_1005Metric";2;"1uf 0402";;;
24;"R8";"R_0402_1005Metric";1;"470 0402 Resistor";;;
25;"U3";"RP2040-QFN-56";1;"RP2040";;;
26;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
