Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J3,2.54mm header 01x20,PinHeader_1x20_P2.54mm_Vertical,8.950000,-24.025000,0.000000,bottom
J4,2.54mm header 01x20,PinHeader_1x20_P2.54mm_Vertical,8.850000,24.175000,180.000000,bottom
C1,10uf 402,C_0402_1005Metric,3.995200,15.615800,180.000000,top
C2,22pf 0402,C_0402_1005Metric,-2.650000,-10.725000,0.000000,top
C3,1uf 0201,C_0201_0603Metric,1.925000,1.750000,90.000000,top
C4,10uf 0402,C_0402_1005Metric,3.487200,10.332600,180.000000,top
C5,100nf 0201,C_0201_0603Metric,-3.900000,6.020000,90.000000,top
C6,100nf 0201,C_0201_0603Metric,0.710000,-9.020000,-90.000000,top
C7,100nf 0201,C_0201_0603Metric,-0.340000,1.945000,90.000000,top
C8,100nf 0201,C_0201_0603Metric,0.425000,1.730000,90.000000,top
C10,1uf 0201,C_0201_0603Metric,2.725000,1.725000,90.000000,top
C11,100nf 0201,C_0201_0603Metric,-4.875000,0.275000,180.000000,top
C13,100nf 0201,C_0201_0603Metric,6.200000,-4.240000,0.000000,top
C14,100nf 0201,C_0201_0603Metric,-0.050000,-8.619000,-90.000000,top
C15,100nf 0201,C_0201_0603Metric,-4.875000,1.050000,180.000000,top
C16,100nf 0201,C_0201_0603Metric,3.480000,1.725000,90.000000,top
C17,10uf 0402,C_0402_1005Metric,3.510000,3.030000,180.000000,top
C18,100nf 0201,C_0201_0603Metric,-4.880000,-4.200000,180.000000,top
C19,22pf 0402,C_0402_1005Metric,0.550000,-12.225000,90.000000,top
CBP1,10uf 0402,C_0402_1005Metric,1.455200,13.990200,90.000000,top
D1,1N4002W,D_SOD-123,6.350000,22.375000,90.000000,top
F1,0805L050WR,Fuse_0805_2012Metric,6.350000,18.275000,90.000000,top
FB1,FerriteBead,R_0402_1005Metric,4.401600,16.631800,180.000000,top
FLASH1,W25Q16JVUXIQ,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,-3.150000,3.475000,90.000000,top
G***,LOGO,lyra,0.025000,-18.925000,0.000000,top
GPIO24_LED1,LED_0402,LED_0402_1005Metric,-2.650000,14.975000,90.000000,top
GPIO24_RESISTOR1,470 0402 Resistor,R_0402_1005Metric,-3.675000,14.975000,-90.000000,top
GPIO25_LED1,LED_0402,LED_0402_1005Metric,-4.675000,15.900000,-90.000000,top
GPIO25_RESISTOR1,470 0402 Resistor,R_0402_1005Metric,-5.675000,15.900000,90.000000,top
J2,SKRKAEE020,SW_Push_SPST_NO_Alps_SKRK,-3.656000,8.621000,180.000000,top
J5,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,-2.550000,-24.025000,90.000000,top
Q1,Si2329DS,SOT-23,-4.525000,12.225000,180.000000,top
R1,1K 0201,C_0201_0603Metric,-4.800000,5.850000,90.000000,top
R2,10K 0201,C_0201_0603Metric,-4.800000,4.400000,90.000000,top
R3,27 0402 Resistor,R_0402_1005Metric,0.363000,3.652400,-90.000000,top
R4,27 0402 Resistor,R_0402_1005Metric,1.353600,3.677800,-90.000000,top
R5,5.1K 0402,R_0402_1005Metric,1.450000,16.073000,90.000000,top
R6,5.1K 0402,R_0402_1005Metric,-1.550000,15.375000,90.000000,top
R7,100K 0402 resistor,R_0402_1005Metric,2.522000,16.073000,90.000000,top
R9,200 0603,R_0603_1608Metric,6.179600,11.983600,-90.000000,top
R10,1 0402,R_0402_1005Metric,5.341400,10.027800,180.000000,top
R11,1K 0201,C_0201_0603Metric,-0.150000,-10.725000,0.000000,top
RSW1,SKRKAEE020,SW_Push_SPST_NO_Alps_SKRK,3.550000,-12.225000,90.000000,top
U1,TLV75533PDBVR,SOT-23-5,3.792000,13.126600,90.000000,top
U3,RP2040,RP2040-QFN-56,0.000000,-3.150000,0.000000,top
USB1,TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,0.000000,25.650000,180.000000,top
Y1,3225_4P,Crystal_SMD_3225-4Pin_3.2x2.5mm,-2.150000,-12.925000,0.000000,top
