Designator,Mid X,Mid Y,Layer,Rotation
C1,31.200000mm,-17.445000mm,Top,90
C2,21.900000mm,-45.900000mm,Top,180
C3,25.075000mm,-32.100000mm,Top,90
C4,30.725000mm,-23.500000mm,Top,180
C5,25.125000mm,-28.275000mm,Top,90
C6,26.000000mm,-44.175000mm,Top,270
C7,28.725000mm,-32.875000mm,Top,90
C8,27.550000mm,-22.650000mm,Top,270
C10,30.600000mm,-33.875000mm,Top,90
C11,19.600000mm,-34.650000mm,Top,180
C13,29.800000mm,-39.025000mm,Top,0
C14,24.750000mm,-44.175000mm,Top,270
C15,19.750000mm,-45.900000mm,Top,0
C17,18.890000mm,-39.585000mm,Top,180
D2,30.290000mm,-25.560000mm,Top,270
D3,18.900000mm,-15.050000mm,Top,270
J2,19.830000mm,-20.290000mm,Top,90
R1,19.120000mm,-23.230000mm,Top,180
R2,22.100000mm,-22.250000mm,Top,270
R3,26.250000mm,-31.925000mm,Top,270
R4,27.230000mm,-31.925000mm,Top,270
R5,23.460000mm,-19.610000mm,Top,0
R6,22.640000mm,-18.600000mm,Top,0
R7,27.320000mm,-19.600000mm,Top,270
R8,30.550000mm,-37.425000mm,Top,180
U1,30.000000mm,-20.800000mm,Top,270
U3,24.690000mm,-38.025000mm,Top,0
X1,20.525000mm,-48.150000mm,Top,0
e1,24.600000mm,-8.925000mm,Top,180
