Designator,Mid X,Mid Y,Rotation,Layer
C1,41.725,-36.825,270.0,top
C10,42.625,-38.7,90.0,top
C11,45.59,-46.74,270.0,top
C13,40.12,-37.29,90.0,top
C14,44.6,-40.75,0.0,top
C15,34.9,-39.175,90.0,top
C18,38.72,-48.981,270.0,top
C19,37.17,-52.44,270.0,top
C2,42.28,-52.4,270.0,top
C3,41.7,-38.7,90.0,top
C4,43.6,-38.7,90.0,top
C5,35.425,-34.05,0.0,top
C6,39.175,-37.3,90.0,top
C7,39.701,-48.982,270.0,top
C8,34.356,-45.611,270.0,top
D1,41.975,-34.6,90.0,top
FLASH1,36.65,-36.375,90.0,top
GPIO25_LED1,45.45,-44.15,180.0,top
GPIO25_RESISTOR1,44.6,-43.175,180.0,top
J1,44.35,-51.475,90.0,top
J2,34.8,-51.5,90.0,top
R1,34.8,-35.5,90.0,top
R101,44.41,-47.5,90.0,top
R102,43.45,-48.12,270.0,top
R2,34.9,-37.325,90.0,top
R3,39.81,-34.92,270.0,top
R4,40.76,-34.91,270.0,top
R5,44.62,-29.52,90.0,top
R6,34.78,-29.51,90.0,top
R7,42.29,-50.575,90.0,top
U1,44.425,-35.8125,90.0,top
U2,39.7,-41.275,270.0,top
U3,39.7,-43.675,0.0,top
USB2,39.7,-24.615,180.0,top
Y1,39.725,-51.65,0.0,top
