Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C4, CBP1",0402,4,10uf 0402, 
"C10, C102",0402,2,2.2uF 0402, 
C101,0402,1,0.1uf 0402, 
"C11, C13, C14, C15, C16, C18, C5, C6, C7, C8",0402,10,100nf 0402, 
"C19, C2",0402,2,22pf 0402, 
C3,0402,1,1uf 0402, 
D1,D_SOD-123,1,1N5817W, 
F1,0805,1,0805L050WR,
FB1,0402,1,FerriteBead 0402,
FLASH1,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ,
GP23_LED1,0402,1,GP23 LED_0402, 
"GPIO24_RESISTOR1, R1, R11",0402,3,1K 0402, 
GPIO25_LED1,0402,1,LED_0402, 
GPIO25_RESISTOR1,0402,1,470 0402, 
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J2,SW_Push_SPST_NO_Alps_SKRK,1,Button, 
"J3, J4",PinHeader_1x20_P2.54mm_Vertical,2,2.54mm header 01x20, 
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male, 
NT1,NetTie-2_SMD_Pad0.5mm,1,NetTie_2,
Q1,SOT-23,1,SI2301B,
R10,0402,1,1 0402, 
R101,0402,1,5.6K 0402, 
R102,0402,1,220 0402, 
R103,0402,1,10K 0402, 
R2,0402,1,10K 0402,  
"R3, R4",0402,2,27r 0402 resistor, 
"R5, R6",0402,2,5.1K 0402, 
R7,0402,1,100K 0402, 
R9,0603,1,200 0603, 
RSW1,SW_Push_SPST_NO_Alps_SKRK,1,TSA343G00-250J2,
"TP1, TP2, TP3",CustomTestPoint,3,TestPoint, 
U1,SOT-23-5,1,SOT-23-5 5.5V 3.3V 500mA, 
U3,RP2040-QFN-56,1,RP2040, C2040
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,3225_4P 12MHz, 
