"Comment","Designator","Footprint","LCSC Part #"
"10uf 0402","C1,C4,C17,C9","C_0402_1005Metric","no_part_number"
"15pf 0402","C2","C_0402_1005Metric","no_part_number"
"100nf 0402","C6,C7,C5,C11,C15,C14,C13,C8","C_0402_1005Metric","no_part_number"
"1uf 0402","C10,C3","C_0402_1005Metric","no_part_number"
"0.1uf 0402","C12","C_0402_1005Metric","no_part_number"
"SCHOTTKY DIODE","D1","D_0603_1608Metric","no_part_number"
"LED 0402 YELLOW","D3","LED_0402_1005Metric","no_part_number"
"TYPE-C-31-M-12","e1","HRO-TYPE-C-31-M-12","no_part_number"
"W25Q16","FLASH1","SOIJ-8_5.3x5.3mm_P1.27mm","no_part_number"
"MountingHole","H1,H2,H3,H4","MountingHole_2.2mm_M2","no_part_number"
"SKRKAEE020","J2","SW_Push_SPST_NO_Alps_SKRK","no_part_number"
"2.54mm header 01x20","J4,J3","PinHeader_1x20_P2.54mm_Vertical","no_part_number"
"Conn_01x03_Male","J5","PinHeader_1x03_P2.54mm_Vertical","no_part_number"
"Inductor 2.2uh","L1","L_0805_2012Metric","no_part_number"
"1k Resistor","R1","C_0402_1005Metric","no_part_number"
"DNF","R2","C_0402_1005Metric","no_part_number"
" 27Ohms  0402 Resistor","R3","C_0402_1005Metric","no_part_number"
" 27Ohms 0402 Resistor","R4","C_0402_1005Metric","no_part_number"
"5.1K","R6,R5","R_0402_1005Metric","no_part_number"
"100ohm","R7","R_0402_1005Metric","no_part_number"
"470 ohm resistor","R8","R_0402_1005Metric","no_part_number"
"TPS63002","U1","Texas_DRC0010J_ThermalVias","no_part_number"
"RP2040","U3","RP2040-QFN-56","no_part_number"
"XO 32 12Mhz 3225 seiko","X1","Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm","no_part_number"
