Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf 0402,C_0402_1005Metric,15.450000,-6.720000,90.000000,top
C2,15pf 0402,C_0402_1005Metric,6.150000,-35.175000,180.000000,top
C3,1uf 0402,C_0402_1005Metric,9.325000,-21.375000,90.000000,top
C4,10uf 0402,C_0402_1005Metric,14.975000,-12.775000,180.000000,top
C5,100nf 0402,C_0402_1005Metric,9.375000,-17.550000,90.000000,top
C6,100nf 0402,C_0402_1005Metric,10.250000,-33.450000,270.000000,top
C7,100nf 0402,C_0402_1005Metric,12.975000,-22.150000,90.000000,top
C8,100nf 0402,C_0402_1005Metric,11.800000,-11.925000,270.000000,top
C10,1uf 0402,C_0402_1005Metric,14.850000,-23.150000,90.000000,top
C11,100nf 0402,C_0402_1005Metric,3.850000,-23.925000,180.000000,top
C13,100nf 0402,C_0402_1005Metric,14.050000,-28.300000,0.000000,top
C14,100nf 0402,C_0402_1005Metric,9.000000,-33.450000,270.000000,top
C15,100nf 0402,C_0402_1005Metric,4.000000,-35.175000,0.000000,top
C17,10uf 0402,C_0402_1005Metric,3.140000,-28.860000,180.000000,top
D2,0603 Diode Schottky,D_0603_1608Metric,14.540000,-14.835000,270.000000,top
D3,LED 0402 YELLOW,LED_0402_1005Metric,3.150000,-4.325000,270.000000,top
FLASH1,W25Q16JVUXIQ,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,5.300000,-18.400000,90.000000,top
J2,B3U-1000P,SW_SPST_B3U-1000P,4.080000,-9.565000,90.000000,top
R1,1k Resistor,C_0402_1005Metric,3.370000,-12.505000,180.000000,top
R2,DNF,C_0402_1005Metric,6.350000,-11.525000,270.000000,top
R3, 27Ohms  0402 Resistor,C_0402_1005Metric,10.500000,-21.200000,270.000000,top
R4, 27Ohms 0402 Resistor,C_0402_1005Metric,11.480000,-21.200000,270.000000,top
R5,5.1K,R_0402_1005Metric,7.710000,-8.885000,0.000000,top
R6,5.1K,R_0402_1005Metric,6.890000,-7.875000,0.000000,top
R8,470 ohm resistor,R_0402_1005Metric,14.800000,-26.700000,180.000000,top
U1,SPX3819M5-L-3-3,SOT-23-5,14.250000,-10.075000,90.000000,top
U3,RP2040,RP2040-QFN-56,8.940000,-27.300000,0.000000,top
X1,XO 32 12Mhz 3225 seiko,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,4.775000,-37.425000,0.000000,top
e1,TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,8.850000,1.800000,180.000000,top
